title,brief_description,full_description,url,location,salary_range,job_type,contract_type,position_name,industry,required_education,time_length,hours,date_parsed
Monteur,Op zoek naar een veelzijdige functie als monteur?,"Ben jij de gepassioneerde monteur die dit mooie bedrijf in de voedingsmiddelenindustrie zoekt? Als enthousiaste technisch specialist zal jij het team versterken in de 2-ploegendienst. Wil jij de mogelijkheid hebben om te blijven leren, tot wel € 4.600,- bruto inclusief toeslagen verdienen en werken met high tech apparatuur? Lees dan snel verder of solliciteer direct!",https://www.pro-industry.nl/vacature/monteur-P074213,Amsterdam,€3.200-4.600,2 ploegendienst,Tijdelijk met uitzicht op vast,Technische dienst,Voedingsmiddelen,mbo niveau 2,3 tot 5 jaar,40 uur,2022-12-19 19:37:33.192229
Operator 3-ploegen,Kun jij de link leggen? Operator 3-ploegen.,"Ben jij klaar voor de volgende stap? Wil jij als operator in de 3-ploegen werken en tot € 3400,- bruto per maand inclusief ploegentoeslag verdienen? Dan is dit een mooie kans! Als operator zul jij inzetten bij het produceren van verschillende kabels voor onder andere data en complexe technologie bij deze mooie organisatie.",https://www.pro-industry.nl/vacature/operator-3-ploegen-P074218,Venray,€3.200-3.400,3 ploegendienst,Tijdelijk met uitzicht op vast,Procesoperator,Metaal,mbo niveau 2,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Verladingsoperator 2-ploegendienst,"2 ploegendienst - € 4.900,- bruto - Chemie","Ben jij een ervaren verladingsoperator en wil je tot wel € 4.900,- verdienen in de 2 ploegendienst? Dan is dit de baan voor jou! Dit bedrijf is een grote speler op internationaal niveau en houdt zich bezig met de productie van chemicaliën. Ben jij ervaren in de verlading en in het bezit van minimaal een operator A diploma? Lees dan snel verder",https://www.pro-industry.nl/vacature/verladingsoperator-2-ploegendienst-P074219,Spijkenisse,€3.000-4.900,5 ploegendienst,Tijdelijk met uitzicht op vast,Procesoperator,Chemie,mbo niveau 4,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Operator,Wil jij werken in de dagdienst als operator?,"Ben jij op zoek naar een uitdagende baan als operator in de dagdienst? Zoek jij een baan waarbij je zowel zelfstandig als in teamverband komt te werken? Bij deze organisatie krijg je veel verantwoordelijkheid maar tevens ook veel vrijheid. Als operator ben jij verantwoordelijk voor de gehele productielijn waarbij je verschillende chemicaliën in diverse soorten verpakkingen moet afvullen. 
Jij wordt een belangrijke schakel binnen het productieproces met als einddoel gezamenlijk een goed product te leveren. Jij zal je bezig houden met het optimaliseren van het proces, ombouwen en afstellen van de machines en dat in de dagdienst met een salaris dat kan oplopen tot wel € 2650,-.Zie jij jezelf werken als operator bij deze gemoedelijke organisatie die actief is in de chemie? Lees dan snel verder!",https://www.pro-industry.nl/vacature/operator-P074220,Enschede,€2.250-2.650,Dagdienst,Tijdelijk met uitzicht op vast,Machineoperator,Chemie,mbo niveau 2,,40 uur,2022-12-19 19:37:33.192229
Productiemedewerker,Kan jij onder tijdsdruk kwantitatief en kwalitatief een goed eindproduct leveren? Lees dan snel verder!,"Wil jij als productiemedewerker in de 2 ploegen aan de slag bij dit aantoongevend bedrijf? Ben jij iemand die graag zijn handen uit de mouwen steekt? Een mooi salaris kan verdienen dat kan oplopen tot €2.600,- bruto per maand?Je gaat werken bij één van de marktleiders op het gebied van industriële verpakkingen en bijbehorende diensten. Op de locatie in Ede worden IBC's (plastic vaten) geproduceerd en hieromheen komt een stalen kooiconstructie. Deze verpakkingen worden door heel de wereld gebruikt voor de chemische, farmaceutische, landbouw- en voedselindustrie.Doordat het bedrijf een enorme groei doormaakt zijn wij op zoek naar productiemedewerkers!",https://www.pro-industry.nl/vacature/productiemedewerker-P074221,Ede,€2.300-2.600,2 ploegendienst,Tijdelijk met uitzicht op vast,Productie,Rubber en kunststof,vmbo,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Machinist wkc,Sta jij open voor een zeer uitdagende dagdienst baan bij de grootste producent van gestreken vouwkarton?,"Heb jij ruime kennis van warmte-krachtcentrales? Ben jij klaar met de nachtdiensten en ga jij het liefst aan de slag in de dagdienst? Dan is de functie van machinist WKC bij de grootste producent van gestreken vouwkarton wellicht dé uitdaging die jij zoekt! De functie valt binnen de afdeling technische dienst. Deze afdeling bestaat uit een afdeling electro proces control, mechanisch technische dienst, warmtekracht centrale en een afdeling maximo, magazijn en infrastructuur. Bij dit bedrijf in de kartonindustrie zal je een goed salaris kunnen verdienen tot € 3.500,- bruto per maand en krijg je de mogelijkheid om jezelf verder te ontwikkelen binnen jouw functie. Klinkt dit al interessant? Lees dan snel verder!",https://www.pro-industry.nl/vacature/machinist-wkc-P074222,Apeldoorn,€2.800-3.500,Dagdienst,Tijdelijk met uitzicht op vast,Procesoperator,Papier en karton,mbo niveau 4,3 tot 5 jaar,40 uur,2022-12-19 19:37:33.192229
Productiemedewerker,Zit jij boordevol met technische kennis? Lijkt het jou gaaf om machines te bedienen? Lees dan snel verder!,"Wil jij je ontwikkelen binnen de kunststofindustrie? Ben jij op zoek naar een baan waar je in de 3-ploegendienst een salaris tot wel € 2.600,- verdient enuitzicht hebt op een vast contract? Binnen de kunststofindustrie zal jij werkzaam binnen een internationale organisatie die beter draait dan ooit. Om het team te versterken zijn wij opzoek naar ambitieuze en enthousiaste productiemedewerkers. Dus ben jij op zoek naar een nieuwe uitdaging, technisch onderlegd en ervaring binnen een productie omgeving? Solliciteer dan direct.",https://www.pro-industry.nl/vacature/productiemedewerker-P074223,Arnhem,€2.100-2.600,3 ploegendienst,Tijdelijk met uitzicht op vast,Productie,Rubber en kunststof,vmbo,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Productiemedewerker,Productie - Fulltime - 2-ploegen,"Tot wel € 2.700,- bruto verdienen binnen de voedingsmiddelenindustrie in de 2-ploegendienst? Dit is je kans! Je komt te werken bij de specialist op het gebied van droge worsten. Oneindige mogelijkheden om je kennis te verbreden, ruimte om jezelf te ontwikkelen, gegarandeerd een uitstekende werkomgeving. Enthousiast? Lees dan gauw verder!",https://www.pro-industry.nl/vacature/productiemedewerker-P073955,Stadskanaal,€2.000-2.700,2 ploegendienst,Tijdelijk met uitzicht op vast,Productie,Voedingsmiddelen,mbo niveau 2,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Allround lasser,Allround lasser gezocht voor de grootste producent van verpakkingen van vouwkarton!,"Ben jij een ervaren lasser, maar ben je op zoek naar een nieuwe uitdaging? Heb jij ervaring met zowel MIG/TIG als elektrisch en MIG/MAG lassen? Ga dan aan de slag bij dit bedrijf in de kartonindustrie! In deze veelzijdige functie verricht je alle voorkomende laswerkzaamheden. Je treft voorbereidingen zoals o.a. het inmeten van leidingen. Je verricht werkzaamheden m.b.t. het maken, monteren en bevestigen van leidingsystemen, het maken van de eventuele hulpstukken daarvoor en het inbouwen van de nodige appendages, pompen of regelapparatuur in deze leidingen en voert hiervoor het nodige laswerk uit. Je last zowel staal, RVS en aluminium en hoogsterkte staal en verwerkt materialen van roestvrij staal, ijzer, koper, brons of messing. Klinkt jou dit als muziek in de oren en wil je tot wel € 3.000,- in de dagdienst verdienen? Lees dan snel verder!",https://www.pro-industry.nl/vacature/allround-lasser-P074225,Arnhem,€2.500-3.000,Dagdienst,Tijdelijk met uitzicht op vast,Technisch overig,Papier en karton,mbo niveau 4,3 tot 5 jaar,40 uur,2022-12-19 19:37:33.192229
Operator,Vind jij het uitdagend om met machines te werken en zelfstandig storingen op te lossen?,"Heb jij een technische opleiding afgerond op mbo niveau 3 of ben jij al enkele jaren werkzaam geweest als operator? Bij dit bedrijf dat gespecialiseerd is in het produceren van kunststof producten, kan jij een uitdagende baan hebben als operator. Je bent werkzaam in de 5-ploegen en gaat er samen met jouw collega's voor zorgen dat het productieproces optimaal verloopt. Dit bedrijf biedt jou de mogelijkheid om jezelf te blijven ontwikkelen in je functie en daarnaast verdien je een salaris dat kan oplopen tot € 3.200,- bruto per maand. Ben jij benieuwd naar jouw werkzaamheden? Lees dan snel verder!",https://www.pro-industry.nl/vacature/operator-P074226,Ede,€2.600-3.300,5 ploegendienst,Tijdelijk met uitzicht op vast,Procesoperator,Rubber en kunststof,mbo niveau 3,3 tot 5 jaar,40 uur,2022-12-19 19:37:33.192229
